tag	keelScore
6736	2
6855	NA
6860	0
6872	2
6877	NA
6882	NA
6883	1
6886	2
6887	NA
6890	2
6891	NA
6892	NA
6893	NA
6894	NA
6900	NA
6901	1
6902	2
6903	1
6905	2
6907	2
6908	2
6909	1
6911	1
6913	2
6917	2
6918	2
6919	2
6921	1
6922	0
6923	2
6924	2
6925	2
6926	2
6927	1
6928	1
6929	1
6931	1
6933	1
6934	NA
6935	2
6936	1
6937	0
6938	2
6939	0
6940	0
6941	2
6942	0
6943	1
6944	2
6945	0
6946	2
6947	0
6949	1
6950	2
6951	2
6952	1
6955	1
6956	2
6957	0
6958	1
6959	2
6960	1
6961	1
6962	0
6963	1
6964	1
6967	1
6969	1
6970	1
6971	1
6972	2
6973	2
6975	2
6976	1
6977	2
6978	1
6979	2
6980	2
6981	2
6982	2
6983	2
6984	2
6985	2
6986	1
6988	0
6989	2
6992	0
6993	1
6994	2
6996	1
6997	0
6998	2
7000	1
9001	1
9004	2
9005	1
9010	2
9012	2
9013	1
9014	1
9016	0
9017	0
9018	2
9019	1
9020	1
9021	1
9022	2
9023	1
9024	2
9025	0
9026	2
9032	1
9033	0
9035	1
9038	2
9041	1
9042	0
9043	2
9044	1
9045	1
9046	1
9047	2
9048	1
9049	2
9050	1
9052	1
9053	2
9054	1
9055	1
9056	2
9058	2
9061	2
