Activity,Tag,Room,Activity,MaxLoad,AUC,Slope,Tibiavol,Tibiadens,Keelscore
H,6913,8,H,15430.931,24167.712,22399.907,4478.13,776.33,2
H,6973,8,H,23971.379,13263.343,38302.113,4011.61,810.58,2
H,6982,8,H,20871.296,43175.13,21722.774,4558.7,808.54,2
H,6984,8,H,23368.477,16660.858,22276.592,3439.85,805.95,2
H,9012,8,H,19993.323,12998.903,22974.753,3738.64,880.63,2
L,6929,8,L,28869.108,23666.401,33528.536,4226.36,851.32,1
L,6939,8,L,28231.626,33531.894,33715.5,4117.71,937.36,0
L,6945,8,L,14875.357,13383.668,26680.324,3178.79,852.02,0
L,6949,8,L,18444.339,14755.476,21924.692,2564.09,810.68,1
L,6961,8,L,21047.722,12904.25,22437.546,3628.43,891.07,1
L,6996,8,L,25736.616,22012.608,28325.665,3196.56,901.52,1
L,6997,8,L,23603.309,17121.678,28743.625,3283.23,895.97,0
M,6928,8,M,18325.183,18557.483,18170.091,2071.25,743.02,1
M,6931,8,M,28388.095,35416.772,31613.276,4112.94,798.42,1
M,6936,8,M,23614.606,37457.372,26395.399,3856.92,823.79,1
M,6940,8,M,24792.473,16554.553,25922.465,4979.62,964.67,0
M,6950,8,M,19201.429,17236.376,25331.707,3647.54,846.6,2
M,6979,8,M,22299.964,12949.597,23847.313,2950.06,803.22,2
M,7000,8,M,16033.335,19981.212,20013.441,3691.61,848.15,1
