"sample","bottom","mid","top","total"
"6925.d.2","1","29","28","58"
"6925.d.3","0","30","29","59"
"6925.d.4","0","30","30","60"
"6925.d.5","0","30","30","60"
"6925.d.6","0","26","26","52"
"6925.d.7","0","26","26","52"
"6925.d.8","0","33","34","67"
"6925.d.9","1","30","31","62"
"6925.d.10","1","26","26","53"
"6925.d.11","0","28","29","57"
"6925.d.12","0","27","27","54"
"6925.d.13","1","25","25","51"
"6925.d.14","1","25","26","52"
"6925.d.15","0","27","27","54"
"6925.d.16","0","25","25","50"
"6925.d.17","2","25","25","52"
"6925.d.18","2","26","28","56"
"6925.d.19","0","27","28","55"
"6925.d.20","0","25","26","51"
"6925.d.21","0","31","32","63"
"6925.d.22","0","32","32","64"
"6925.d.23","0","26","26","52"
"6925.d.24","0","28","27","55"
"6925.d.25","0","31","31","62"
"6925.d.26","1","28","27","56"
"6925.d.27","1","23","22","46"
"6925.d.28","0","24","25","49"
"6925.d.29","1","26","26","53"
"6925.d.30","3","14","15","32"
"6925.d.31","7","5","7","19"
"6925.d.32","11","8","13","32"
"6925.d.33","8","8","11","27"
"6925.d.34","5","4","5","14"
"6925.d.35","6","4","4","14"
"6925.d.36","9","10","6","25"
"6925.d.37","12","18","9","39"
"6925.d.38","11","15","9","35"
"6925.d.39","6","7","5","18"
"6925.d.40","5","7","2","14"
"6925.d.41","6","7","4","17"
"6925.d.42","5","6","4","15"
"6925.d.43","4","4","2","10"
"6925.d.44","5","6","5","16"
"6925.d.45","5","8","6","19"
"6925.d.46","4","5","4","13"
"6925.d.47","4","5","4","13"
"6925.d.48","5","5","4","14"
"6925.d.49","5","5","3","13"
"6925.d.50","5","4","2","11"
"6925.d.51","5","4","1","10"
"6925.d.52","3","3","1","7"
"6925.d.53","4","4","2","10"
"6925.d.54","5","5","1","11"
"6925.d.55","4","4","0","8"
"6925.d.56","7","6","4","17"
"6925.d.57","9","7","8","24"
"6925.d.58","9","9","5","23"
"6925.d.59","9","10","3","22"
"6925.d.60","9","9","3","21"
"6925.d.61","7","7","3","17"
"6925.d.62","5","5","3","13"
"6925.d.63","5","3","3","11"
"6925.d.64","4","1","3","8"
"6925.d.65","5","6","4","15"
"6925.d.66","5","6","5","16"
"6925.d.67","4","3","4","11"
"6925.d.68","4","3","2","9"
"6925.d.69","4","2","2","8"
"6925.d.70","4","5","3","12"
"6925.d.71","4","7","5","16"
"6925.d.72","4","6","5","15"
"6925.d.73","4","4","4","12"
"6925.d.74","4","3","4","11"
"6925.d.75","4","3","2","9"
"6925.d.76","5","7","4","16"
"6925.d.77","5","8","5","18"
"6935.d.2","8","2","8","18"
"6935.d.3","7","3","7","17"
"6935.d.4","7","3","9","19"
"6935.d.5","6","3","9","18"
"6935.d.6","5","3","8","16"
"6935.d.7","8","3","9","20"
"6935.d.8","10","2","10","22"
"6935.d.9","8","3","8","19"
"6935.d.10","4","3","5","12"
"6935.d.11","4","2","6","12"
"6935.d.12","6","1","6","13"
"6935.d.13","7","0","8","15"
"6935.d.14","6","2","6","14"
"6935.d.15","2","4","5","11"
"6935.d.16","3","4","4","11"
"6935.d.17","5","3","6","14"
"6935.d.18","5","3","7","15"
"6935.d.19","4","4","7","15"
"6935.d.20","4","3","6","13"
"6935.d.21","5","2","6","13"
"6935.d.22","5","3","8","16"
"6935.d.23","4","4","9","17"
"6935.d.24","7","2","9","18"
"6935.d.25","6","3","6","15"
"6935.d.26","5","2","5","12"
"6935.d.27","6","3","7","16"
"6935.d.28","7","4","7","18"
"6935.d.29","7","3","8","18"
"6935.d.30","6","2","5","13"
"6935.d.31","6","2","5","13"
"6935.d.32","6","2","6","14"
"6935.d.33","4","3","3","10"
"6935.d.34","6","3","6","15"
"6935.d.35","6","2","6","14"
"6935.d.36","4","2","4","10"
"6935.d.37","6","7","4","17"
"6935.d.38","6","7","4","17"
"6935.d.39","5","6","4","15"
"6935.d.40","4","6","3","13"
"6935.d.41","3","4","4","11"
"6935.d.42","5","6","4","15"
"6935.d.43","5","8","3","16"
"6935.d.44","6","7","3","16"
"6935.d.45","8","7","3","18"
"6935.d.46","7","9","5","21"
"6935.d.47","8","11","4","23"
"6935.d.48","8","9","4","21"
"6935.d.49","6","8","4","18"
"6935.d.50","6","8","4","18"
"6935.d.51","6","7","3","16"
"6935.d.52","7","11","3","21"
"6935.d.53","8","10","4","22"
"6935.d.54","7","8","4","19"
"6935.d.55","8","10","4","22"
"6935.d.56","10","13","3","26"
"6935.d.57","8","12","5","25"
"6935.d.58","8","14","5","27"
"6935.d.59","12","16","4","32"
"6935.d.60","12","15","4","31"
"6935.d.61","9","12","6","27"
"6935.d.62","8","14","8","30"
"6935.d.63","9","17","9","35"
"6935.d.64","12","18","13","43"
"6935.d.65","9","13","9","31"
"6935.d.66","7","11","6","24"
"6935.d.67","10","13","10","33"
"6935.d.68","11","13","11","35"
"6935.d.69","11","15","10","36"
"6935.d.70","9","15","10","34"
"6935.d.71","9","12","11","32"
"6935.d.72","10","13","9","32"
"6935.d.73","11","15","10","36"
"6935.d.74","10","15","11","36"
"6935.d.75","9","12","11","32"
"6935.d.76","10","11","9","30"
"6935.d.77","8","10","6","24"
"6942.d.2","3","3","6","12"
"6942.d.3","4","3","5","12"
"6942.d.4","4","3","6","13"
"6942.d.5","3","4","8","15"
"6942.d.6","3","4","5","12"
"6942.d.7","3","5","5","13"
"6942.d.8","2","4","5","11"
"6942.d.9","2","2","3","7"
"6942.d.10","2","3","4","9"
"6942.d.11","2","4","5","11"
"6942.d.12","2","4","5","11"
"6942.d.13","2","4","5","11"
"6942.d.14","2","6","6","14"
"6942.d.15","3","3","5","11"
"6942.d.16","4","3","5","12"
"6942.d.17","5","4","7","16"
"6942.d.18","7","7","4","18"
"6942.d.19","6","6","4","16"
"6942.d.20","4","5","6","15"
"6942.d.21","5","7","7","19"
"6942.d.22","7","5","6","18"
"6942.d.23","7","6","7","20"
"6942.d.24","4","2","5","11"
"6942.d.25","3","1","1","5"
"6942.d.26","3","2","0","5"
"6942.d.27","3","2","2","7"
"6942.d.28","2","1","2","5"
"6942.d.29","1","0","1","2"
"6942.d.30","1","0","1","2"
"6942.d.31","1","1","1","3"
"6942.d.32","3","3","3","9"
"6942.d.33","7","2","8","17"
"6942.d.34","7","5","9","21"
"6942.d.35","2","4","4","10"
"6942.d.36","0","0","0","0"
"6942.d.37","0","0","0","0"
"6942.d.38","2","3","2","7"
"6942.d.39","3","3","3","9"
"6942.d.40","4","4","4","12"
"6942.d.41","5","4","5","14"
"6942.d.42","4","1","4","9"
"6942.d.43","3","1","3","7"
"6942.d.44","3","1","2","6"
"6942.d.45","5","5","2","12"
"6942.d.46","4","5","2","11"
"6942.d.47","1","1","1","3"
"6942.d.48","1","0","1","2"
"6942.d.49","3","2","1","6"
"6942.d.50","2","2","0","4"
"6942.d.51","0","0","0","0"
"6942.d.52","1","1","0","2"
"6942.d.53","2","1","1","4"
"6942.d.54","2","0","2","4"
"6942.d.55","2","1","2","5"
"6942.d.56","2","2","1","5"
"6942.d.57","1","1","0","2"
"6942.d.58","1","1","0","2"
"6942.d.59","3","3","1","7"
