"sample","bottom","mid","top","total"
"6925.m.2","100","105","70","275"
"6925.m.3","37","39","33","109"
"6935.m.2","109","129","73","311"
"6935.m.3","81","116","81","278"
"6942.m.2","41","33","35","109"
"6942.m.3","24","27","21","72"
"6981.m.2","134","157","92","383"
"6981.m.3","76","125","66","267"
"6986.m.2","53","55","22","130"
"6986.m.3","36","38","13","87"
"6988.m.2","36","43","24","103"
"6988.m.3","18","24","16","58"
"6989.m.2","86","120","82","288"
"6989.m.3","45","62","40","147"
"9001.m.2","110","109","62","281"
"9001.m.3","65","77","35","177"
"9019.m.2","65","112","99","276"
"9019.m.3","34","92","73","199"
"9026.m.2","147","133","114","394"
"9026.m.3","42","50","40","132"
