"sample","bottom","mid","top","total"
"6925.w.2","2","112","114","228"
"6925.w.3","2","111","112","225"
"6925.w.4","1","112","112","225"
"6925.w.5","23","43","48","114"
"6925.w.6","30","38","21","89"
"6925.w.7","18","22","15","55"
"6925.w.8","20","18","8","46"
"6925.w.9","30","27","17","74"
"6925.w.10","17","15","14","46"
"6925.w.11","17","22","17","56"
"6935.w.2","26","8","29","63"
"6935.w.3","16","13","26","55"
"6935.w.4","24","13","29","66"
"6935.w.5","24","10","24","58"
"6935.w.6","19","22","16","57"
"6935.w.7","27","34","17","78"
"6935.w.8","30","40","16","86"
"6935.w.9","39","58","24","121"
"6935.w.10","39","58","40","137"
"6935.w.11","37","51","39","127"
"6942.w.2","8","18","21","47"
"6942.w.3","19","21","23","63"
"6942.w.4","16","11","14","41"
"6942.w.5","11","8","14","33"
"6942.w.6","10","8","10","28"
"6942.w.7","12","9","7","28"
"6942.w.8","7","5","3","15"
"6942.w.9","10","11","6","27"
"6942.w.10","14","12","11","37"
"6942.w.11","9","12","8","29"
"6981.w.2","44","32","64","140"
"6981.w.3","45","31","65","141"
"6981.w.4","53","22","72","147"
"6981.w.5","39","19","53","111"
"6981.w.6","35","51","34","120"
"6981.w.7","32","41","12","85"
"6981.w.8","35","38","9","82"
"6981.w.9","35","49","23","107"
"6981.w.10","37","55","25","117"
"6981.w.11","36","68","38","142"
"6986.w.2","19","17","35","71"
"6986.w.3","21","11","29","61"
"6986.w.4","20","9","26","55"
"6986.w.5","15","7","16","38"
"6986.w.6","14","15","5","34"
"6986.w.7","11","13","4","28"
"6986.w.8","15","16","4","35"
"6986.w.9","15","16","5","36"
"6986.w.10","17","18","8","43"
"6986.w.11","15","16","4","35"
"6988.w.2","15","8","22","45"
"6988.w.3","13","11","22","46"
"6988.w.4","8","8","13","29"
"6988.w.5","7","6","10","23"
"6988.w.6","8","9","6","23"
"6988.w.7","8","10","5","23"
"6988.w.8","9","10","4","23"
"6988.w.9","13","17","8","38"
"6988.w.10","8","12","8","28"
"6988.w.11","8","9","7","24"
"6989.w.2","24","16","35","75"
"6989.w.3","27","20","37","84"
"6989.w.4","28","15","32","75"
"6989.w.5","23","19","32","74"
"6989.w.6","17","23","18","58"
"6989.w.7","21","30","20","71"
"6989.w.8","21","33","17","71"
"6989.w.9","27","35","18","80"
"6989.w.10","23","36","25","84"
"6989.w.11","20","25","16","61"
"9001.w.2","28","23","38","89"
"9001.w.3","25","20","36","81"
"9001.w.4","28","13","31","72"
"9001.w.5","33","17","40","90"
"9001.w.6","29","36","15","80"
"9001.w.7","24","26","8","58"
"9001.w.8","26","26","12","64"
"9001.w.9","24","26","12","62"
"9001.w.10","27","31","15","73"
"9001.w.11","35","43","17","95"
"9019.w.2","14","29","33","76"
"9019.w.3","10","41","39","90"
"9019.w.4","25","35","43","103"
"9019.w.5","23","21","32","76"
"9019.w.6","15","26","19","60"
"9019.w.7","14","28","21","63"
"9019.w.8","13","31","23","67"
"9019.w.9","13","37","31","81"
"9019.w.10","17","36","26","79"
"9019.w.11","16","55","45","116"
"9026.w.2","13","15","16","44"
"9026.w.3","19","14","19","52"
"9026.w.4","45","31","65","141"
"9026.w.5","71","24","84","179"
"9026.w.6","45","50","20","115"
"9026.w.7","20","23","16","59"
"9026.w.8","32","37","20","89"
"9026.w.9","20","20","17","57"
"9026.w.10","17","18","17","52"
"9026.w.11","22","28","20","70"
